업종명,업소명,소재지(도로명),소재지(지번),소재지전화,관리기관전화번호,관리기관명
일반음식점,정마담식당,경상북도 구미시 선산읍 선산중앙로18길 16,경상북도 구미시 선산읍 동부리 380번지  ,054-481-2353,054-480-5548,경상북도 구미시청
일반음식점,대한식당,경상북도 구미시 선산읍 남문로 45,경상북도 구미시 선산읍 완전리 213번지 4호  ,054-481-2970,054-480-5548,경상북도 구미시청
일반음식점,실비식당,경상북도 구미시 장천면 강동로 189-3,경상북도 구미시 장천면 상장리 896번지 1호  ,054-471-6078,054-480-5548,경상북도 구미시청
일반음식점,미화식당,경상북도 구미시 선산읍 선산중앙로 96,경상북도 구미시 선산읍 동부리 412번지  ,054-481-2661,054-480-5548,경상북도 구미시청
일반음식점,중앙식당,경상북도 구미시 고아읍 선산대로 676,경상북도 구미시 고아읍 항곡리 598번지  ,054-454-8197,054-480-5548,경상북도 구미시청
일반음식점,대구식당,경상북도 구미시 낙동강변로 694-5 (비산동),경상북도 구미시 비산동 63번지  ,054-463-4872,054-480-5548,경상북도 구미시청
일반음식점,동락식당,경상북도 구미시 수출대로 326-19 (임수동),경상북도 구미시 임수동 378번지  ,054-462-7483,054-480-5548,경상북도 구미시청
일반음식점,산동식당,경상북도 구미시 산동면 강동로 1001,경상북도 구미시 산동면 적림리 105번지  ,054-471-3067,054-480-5548,경상북도 구미시청
일반음식점,새마을식당,경상북도 구미시 옥성면 주아2길 18-5,경상북도 구미시 옥성면 주아리 216번지  ,054-481-0035,054-480-5548,경상북도 구미시청
일반음식점,한마음식육식당,경상북도 구미시 도개면 동산1길 58-1,경상북도 구미시 도개면 동산리 220번지  ,054-474-2922,054-480-5548,경상북도 구미시청
일반음식점,친구포차,"경상북도 구미시 인동18길 19, 가동 1층 (진평동)",경상북도 구미시 진평동 26번지 10호 1층 가동 ,054-471-9464,054-480-5548,경상북도 구미시청
일반음식점,왜관식당,경상북도 구미시 수출대로 326-30 (임수동),경상북도 구미시 임수동 385번지 1호  ,054-462-7476,054-480-5548,경상북도 구미시청
일반음식점,신동산식당,경상북도 구미시 장천면 강동로 180,경상북도 구미시 장천면 상장리 888번지 4호  ,054-471-5245,054-480-5548,경상북도 구미시청
일반음식점,삼겹파티공단점,경상북도 구미시 산호대로 199 (공단동),경상북도 구미시 공단동 263번지  ,054-461-8895,054-480-5548,경상북도 구미시청
